State,Year,Month,Day,Rainfall (mm)
Johor,2014,12,20,1.63
Johor,2014,12,21,0.12
Johor,2014,12,22,1.58
Johor,2014,12,23,7.67
Johor,2014,12,24,6.96
Johor,2014,12,25,0.27
Johor,2014,12,26,0.02
Johor,2014,12,27,4.28
Johor,2014,12,28,12.49
Johor,2014,12,29,18.94
Johor,2014,12,30,17.11
Johor,2014,12,31,11.76
Johor,2015,1,1,12.95
Johor,2015,1,2,4.49
Johor,2015,1,3,1.45
Johor,2015,1,4,1.62
Johor,2015,1,5,15.22
Johor,2015,1,6,9.62
Johor,2015,1,7,12.18
Johor,2015,1,8,3.12
Johor,2015,1,9,4.80
Johor,2015,1,10,3.22
Johor,2015,1,11,2.10
Johor,2015,1,12,2.16
Johor,2015,1,13,16.12
Johor,2015,1,14,3.44
Johor,2015,1,15,1.31
Johor,2015,1,16,17.76
Johor,2015,1,17,17.27
Johor,2015,1,18,0.16
Johor,2015,1,19,0.10
Johor,2015,1,20,0.37
Johor,2015,1,21,1.71
Johor,2015,1,22,2.75
Johor,2015,1,23,2.54
Johor,2015,1,24,2.15
Johor,2015,1,25,0.55
Johor,2015,1,26,0.16
Johor,2015,1,27,0.02
Johor,2015,1,28,0.10
Johor,2015,1,29,0.17
Johor,2015,1,30,1.02
Johor,2015,1,31,0.68
Johor,2015,2,1,0.90
Johor,2015,2,2,1.20
Johor,2015,2,3,0.69
Johor,2015,2,4,0.26
Johor,2015,2,5,0.13
Johor,2015,2,6,0.31
Johor,2015,2,7,0.03
Johor,2015,2,8,0.05
Johor,2015,2,9,0.04
Johor,2015,2,10,0.38
Johor,2015,2,11,0.68
Johor,2015,2,12,0.39
Johor,2015,2,13,0.06
Johor,2015,2,14,0.24
Johor,2015,2,15,0.23
Johor,2015,2,16,1.04
Johor,2015,2,17,2.91
Johor,2015,2,18,7.88
Johor,2015,2,19,6.00
Johor,2015,2,20,9.65
Johor,2015,2,21,15.27
Johor,2015,2,22,15.16
Johor,2015,2,23,30.65
Johor,2015,2,24,40.66
Johor,2015,2,25,17.69
Johor,2015,2,26,6.69
Johor,2015,2,27,1.71
Johor,2015,2,28,0.94
Johor,2015,3,1,4.03
Johor,2015,3,2,4.87
Johor,2015,3,3,0.10
Johor,2015,3,4,0.12
Johor,2015,3,5,0.39
Johor,2015,3,6,0.38
Johor,2015,3,7,3.04
Johor,2015,3,8,0.12
Johor,2015,3,9,1.56
Johor,2015,3,10,8.42
Johor,2015,3,11,5.45
Johor,2015,3,12,0.45
Johor,2015,3,13,0.21
Johor,2015,3,14,0.17
Johor,2015,3,15,0.59
Johor,2015,3,16,2.69
Johor,2015,3,17,2.45
Johor,2015,3,18,2.89
Johor,2015,3,19,5.92
Johor,2015,3,20,7.32
Johor,2015,3,21,5.67
Johor,2015,3,22,7.20
Johor,2015,3,23,4.47
Johor,2015,3,24,3.74
Johor,2015,3,25,0.14
Johor,2015,3,26,0.12
Johor,2015,3,27,1.06
Johor,2015,3,28,1.58
Johor,2015,3,29,5.29
Johor,2015,3,30,13.39
Johor,2015,3,31,7.53
Johor,2015,4,1,3.13
Johor,2015,4,2,11.57
Johor,2015,4,3,0.18
Johor,2015,4,4,11.13
Johor,2015,4,5,23.19
Johor,2015,4,6,153.23
Johor,2015,4,7,93.03
Johor,2015,4,8,7.91
Johor,2015,4,9,9.73
Johor,2015,4,10,9.52
Johor,2015,4,11,6.98
Johor,2015,4,12,3.30
Johor,2015,4,13,5.94
Johor,2015,4,14,54.04
Johor,2015,4,15,38.96
Johor,2015,4,16,21.13
Johor,2015,4,17,9.15
Johor,2015,4,18,10.79
Johor,2015,4,19,9.73
Johor,2015,4,20,4.37
Johor,2015,4,21,1.30
Johor,2015,4,22,1.19
Johor,2015,4,23,0.25
Johor,2015,4,24,2.19
Johor,2015,4,25,4.16
Johor,2015,4,26,1.40
Johor,2015,4,27,0.76
Johor,2015,4,28,0.04
Johor,2015,4,29,0.00
